name,longitude,latitude
Amphiprion perideraion,113.7,-23.1
Amphiprion clarkii,113.4,-24.5
Amphiprion ocellaris,103.846935,1.221763
Amphiprion ocellaris,103.846935,1.221763
Amphiprion perideraion,115.544423,-8.727807
Amphiprion ocellaris,115.544423,-8.727807
Amphiprion akallopisos,115.544423,-8.727807
Amphiprion chrysopterus,-149.764655,-17.502507
Amphiprion polymnus,130.731352,-0.43874
Amphiprion polymnus,130.72893,-0.439505
Amphiprion ocellaris,130.671939,-0.415251
Amphiprion clarkii,113.838545,-22.236511
Amphiprion ocellaris,124.115636,11.335846
Amphiprion perideraion,123.760471,9.88703
Amphiprion perideraion,123.415926,9.56304
Amphiprion allardi,39.323967,-4.648747
Amphiprion bicinctus,34.793036,25.343331
Amphiprion melanopus,166.656387,-20.47689
Amphiprion akindynos,166.656387,-20.47689
Amphiprion barberi,177.126528,-17.73424
Amphiprion perideraion,177.126879,-17.73305
Amphiprion chrysopterus,177.126879,-17.73305
Amphiprion clarkii,114.353056,22.325556
Amphiprion clarkii,114.353056,22.325833
Amphiprion chrysopterus,159.351255,-9.099092
Amphiprion sandaracinos,159.311747,-9.125482
Amphiprion melanopus,159.351255,-9.099092
Amphiprion chrysopterus,159.0434,-9.026502
Amphiprion sandaracinos,159.0434,-9.026502
Amphiprion leucokranos,159.0434,-9.026502
Amphiprion perideraion,158.20074,-8.650533
Amphiprion bicinctus,34.258354,26.149008
Amphiprion bicinctus,34.681519,25.468094
Amphiprion bicinctus,34.389805,25.941833
Amphiprion bicinctus,34.680997,25.4689
Amphiprion percula,159.311747,-9.125482
Amphiprion percula,158.052707,-8.764075
Amphiprion leucokranos,158.069075,-8.462157
Amphiprion clarkii,158.06836,-8.46532
Amphiprion chrysopterus,158.320677,-8.787773
Amphiprion melanopus,158.279832,-8.75643
Amphiprion chrysopterus,158.730817,-9.018797
Amphiprion clarkii,159.117198,-8.97924
Amphiprion clarkii,159.117198,-8.97924
Amphiprion polymnus,160.056592,-8.950375
Amphiprion percula,160.183163,-9.106267
Amphiprion perideraion,160.080328,-9.004382
Amphiprion percula,160.160085,-9.11214
Amphiprion melanopus,146.191897,-16.887788
Amphiprion clarkii,146.191897,-16.887788
Amphiprion clarkii,98.895541,7.42932
Amphiprion ocellaris,98.843435,7.636568
Amphiprion ocellaris,98.767301,7.63168
Amphiprion ocellaris,98.7673,7.658053
Amphiprion melanopus,167.9,-21.6
Amphiprion clarkii,113.8,-22.2
Amphiprion clarkii,115.544423,-8.727807
Amphiprion melanopus,115.544423,-8.727807
Amphiprion clarkii,125.714459,6.900506
Amphiprion clarkii,125.714823,6.900667
Amphiprion clarkii,114.29496,22.307612
Amphiprion frenatus,103.726023,3.09232
Amphiprion ocellaris,103.75245,1.224982
Amphiprion frenatus,127.990615,26.393862
Amphiprion perideraion,103.741909,3.374705
Amphiprion ocellaris,103.835031,1.214621
Amphiprion chrysopterus,177.146915,-17.676633
Amphiprion clarkii,120.910394,13.691531
Amphiprion frenatus,120.840528,13.679563
Amphiprion frenatus,120.840742,13.679543
Amphiprion clarkii,120.911252,13.693865
Amphiprion latezonatus,153.26482,-30.20432
Amphiprion latezonatus,153.26482,-30.20432
Amphiprion akindynos,153.38984,-29.93044
Amphiprion akindynos,153.387725,-29.923363
Amphiprion akindynos,153.387725,-29.923363
Amphiprion akindynos,153.387725,-29.923363
Amphiprion akindynos,153.475237,-28.097381
Amphiprion chrysopterus,177.387212,-16.913547
Amphiprion perideraion,120.840828,13.673768
Amphiprion bicinctus,33.882993,27.557208
Amphiprion bicinctus,33.882993,27.557208
Amphiprion bicinctus,33.908056,27.355833
Amphiprion bicinctus,33.855439,27.799431
